State,Medical marijuana legalized,Marijuana legalized for recreational use,No laws legalizing marijuana,Year
Arkansas,,,Yes,2014
Delaware,Yes,,,2014
Florida,,,Yes,2014
Illinois,Yes,,,2014
Louisiana,,,Yes,2014
Maine,Yes,,,2014
Maryland,Yes,,,2014
Michigan,Yes,,,2014
Minnesota,Yes,,,2014
Montana,Yes,,,2014
New Hampshire,Yes,,,2014
New Jersey,Yes,,,2014
New Mexico,Yes,,,2014
New York,Yes,,,2014
North Dakota,,,Yes,2014
Pennsylvania,,,Yes,2014
Vermont,Yes,,,2014
Alabama,,,Yes,2014
Georgia,,,Yes,2014
Idaho,,,Yes,2014
Indiana,,,Yes,2014
Iowa,,,Yes,2014
Kansas,,,Yes,2014
Kentucky,,,Yes,2014
Mississippi,,,Yes,2014
Missouri,,,Yes,2014
Nebraska,,,Yes,2014
North Carolina,,,Yes,2014
Ohio,,,Yes,2014
Oklahoma,,,Yes,2014
South Carolina,,,Yes,2014
South Dakota,,,Yes,2014
Tennessee,,,Yes,2014
Texas,,,Yes,2014
Utah,,,Yes,2014
West Virginia,,,Yes,2014
Wisconsin,,,Yes,2014
Wyoming,,,Yes,2014
Alaska,,Yes,,2014
California,Yes,,,2014
Colorado,,Yes,,2014
Massachusetts,Yes,,,2014
Nevada,Yes,,,2014
Oregon,,Yes,,2014
Virginia,,,Yes,2014
Washington,,Yes,,2014
District of Columbia,,Yes,,2014
Connecticut,Yes,,,2015
Hawaii,Yes,,,2015
Rhode Island,Yes,,,2015
Arizona,Yes,,,2015
Arkansas,,,Yes,2015
Delaware,Yes,,,2015
Florida,,,Yes,2015
Illinois,Yes,,,2015
Louisiana,,,Yes,2015
Maine,Yes,,,2015
Maryland,Yes,,,2015
Michigan,Yes,,,2015
Minnesota,Yes,,,2015
Montana,Yes,,,2015
New Hampshire,Yes,,,2015
New Jersey,Yes,,,2015
New Mexico,Yes,,,2015
New York,Yes,,,2015
North Dakota,,,Yes,2015
Pennsylvania,,,Yes,2015
Vermont,Yes,,,2015
Alabama,,,Yes,2015
Georgia,,,Yes,2015
Idaho,,,Yes,2015
Indiana,,,Yes,2015
Iowa,,,Yes,2015
Kansas,,,Yes,2015
Kentucky,,,Yes,2015
Mississippi,,,Yes,2015
Missouri,,,Yes,2015
Nebraska,,,Yes,2015
North Carolina,,,Yes,2015
Ohio,,,Yes,2015
Oklahoma,,,Yes,2015
South Carolina,,,Yes,2015
South Dakota,,,Yes,2015
Tennessee,,,Yes,2015
Texas,,,Yes,2015
Utah,,,Yes,2015
West Virginia,,,Yes,2015
Wisconsin,,,Yes,2015
Wyoming,,,Yes,2015
Alaska,,Yes,,2015
California,Yes,,,2015
Colorado,,Yes,,2015
Massachusetts,Yes,,,2015
Nevada,Yes,,,2015
Oregon,,Yes,,2015
Virginia,,,Yes,2015
Washington,,Yes,,2015
District of Columbia,,Yes,,2015
Connecticut,Yes,,,2017
Hawaii,Yes,,,2017
Rhode Island,Yes,,,2017
Arizona,Yes,,,2017
Arkansas,Yes,,,2017
Delaware,Yes,,,2017
Florida,Yes,,,2017
Illinois,Yes,,,2017
Louisiana,Yes,,,2017
Maine,,Yes,,2017
Maryland,Yes,,,2017
Michigan,Yes,,,2017
Minnesota,Yes,,,2017
Montana,Yes,,,2017
New Hampshire,Yes,,,2017
New Jersey,Yes,,,2017
New Mexico,Yes,,,2017
New York,Yes,,,2017
North Dakota,Yes,,,2017
Pennsylvania,Yes,,,2017
Vermont,Yes,,,2017
Alabama,,,Yes,2017
Georgia,,,Yes,2017
Idaho,,,Yes,2017
Indiana,Yes,,,2017
Iowa,,,Yes,2017
Kansas,,,Yes,2017
Kentucky,,,Yes,2017
Mississippi,,,Yes,2017
Missouri,,,Yes,2017
Nebraska,,,Yes,2017
North Carolina,,,Yes,2017
Ohio,Yes,,,2017
Oklahoma,,,Yes,2017
South Carolina,,,Yes,2017
South Dakota,,,Yes,2017
Tennessee,,,Yes,2017
Texas,,,Yes,2017
Utah,,,Yes,2017
West Virginia,Yes,,,2017
Wisconsin,,,Yes,2017
Wyoming,,,Yes,2017
Alaska,,Yes,,2017
California,,Yes,,2017
Colorado,,Yes,,2017
Massachusetts,,Yes,,2017
Nevada,,Yes,,2017
Oregon,,Yes,,2017
Virginia,,,Yes,2017
Washington,,Yes,,2017
Connecticut,Yes,,,2018
Hawaii,Yes,,,2018
Rhode Island,Yes,,,2018
Arizona,Yes,,,2018
Arkansas,Yes,,,2018
Delaware,Yes,,,2018
Florida,Yes,,,2018
Illinois,Yes,,,2018
Louisiana,Yes,,,2018
Maine,,Yes,,2018
Maryland,Yes,,,2018
Michigan,,Yes,,2018
Minnesota,Yes,,,2018
Montana,Yes,,,2018
New Hampshire,Yes,,,2018
New Jersey,Yes,,,2018
New Mexico,Yes,,,2018
New York,Yes,,,2018
North Dakota,Yes,,,2018
Pennsylvania,Yes,,,2018
Vermont,,Yes,,2018
Alabama,,,Yes,2018
Georgia,,,Yes,2018
Idaho,,,Yes,2018
Indiana,Yes,,,2018
Iowa,,,Yes,2018
Kansas,,,Yes,2018
Kentucky,,,Yes,2018
Mississippi,,,Yes,2018
Missouri,Yes,,,2018
Nebraska,,,Yes,2018
North Carolina,,,Yes,2018
Ohio,Yes,,,2018
Oklahoma,,,Yes,2018
South Carolina,,,Yes,2018
South Dakota,,,Yes,2018
Tennessee,,,Yes,2018
Texas,,,Yes,2018
Utah,Yes,,,2018
West Virginia,Yes,,,2018
Wisconsin,,,Yes,2018
Wyoming,,,Yes,2018
Alaska,,Yes,,2018
California,,Yes,,2018
Colorado,,Yes,,2018
Massachusetts,,Yes,,2018
Nevada,,Yes,,2018
Oregon,,Yes,,2018
Virginia,,,Yes,2018
Washington,,Yes,,2018
Connecticut,Yes,,,2019
Hawaii,Yes,,,2019
Rhode Island,Yes,,,2019
Arizona,Yes,,,2019
Arkansas,Yes,,,2019
Delaware,Yes,,,2019
Florida,Yes,,,2019
Illinois,,Yes,,2019
Louisiana,Yes,,,2019
Maine,,Yes,,2019
Maryland,Yes,,,2019
Michigan,,Yes,,2019
Minnesota,Yes,,,2019
Montana,Yes,,,2019
New Hampshire,Yes,,,2019
New Jersey,Yes,,,2019
New Mexico,Yes,,,2019
New York,Yes,,,2019
North Dakota,Yes,,,2019
Pennsylvania,Yes,,,2019
Vermont,,Yes,,2019
Alabama,,,Yes,2019
Georgia,,,Yes,2019
Idaho,,,Yes,2019
Indiana,Yes,,,2019
Iowa,,,Yes,2019
Kansas,,,Yes,2019
Kentucky,,,Yes,2019
Mississippi,,,Yes,2019
Missouri,Yes,,,2019
Nebraska,,,Yes,2019
North Carolina,,,Yes,2019
Ohio,Yes,,,2019
Oklahoma,,,Yes,2019
South Carolina,,,Yes,2019
South Dakota,,,Yes,2019
Tennessee,,,Yes,2019
Texas,,,Yes,2019
Utah,Yes,,,2019
West Virginia,Yes,,,2019
Wisconsin,,,Yes,2019
Wyoming,,,Yes,2019
Alaska,,Yes,,2019
California,,Yes,,2019
Colorado,,Yes,,2019
Massachusetts,,Yes,,2019
Nevada,,Yes,,2019
Oregon,,Yes,,2019
Virginia,,,Yes,2019
Washington,,Yes,,2019
Connecticut,Yes,,,2020
Hawaii,Yes,,,2020
Rhode Island,Yes,,,2020
Arizona,Yes,,,2020
Arkansas,Yes,,,2020
Delaware,Yes,,,2020
Florida,Yes,,,2020
Illinois,,Yes,,2020
Louisiana,Yes,,,2020
Maine,,Yes,,2020
Maryland,Yes,,,2020
Michigan,,Yes,,2020
Minnesota,Yes,,,2020
Montana,Yes,,,2020
New Hampshire,Yes,,,2020
New Jersey,Yes,,,2020
New Mexico,Yes,,,2020
New York,Yes,,,2020
North Dakota,Yes,,,2020
Pennsylvania,Yes,,,2020
Vermont,,Yes,,2020
Alabama,,,Yes,2020
Georgia,,,Yes,2020
Idaho,,,Yes,2020
Indiana,Yes,,,2020
Iowa,,,Yes,2020
Kansas,,,Yes,2020
Kentucky,,,Yes,2020
Mississippi,,,Yes,2020
Missouri,Yes,,,2020
Nebraska,,,Yes,2020
North Carolina,,,Yes,2020
Ohio,Yes,,,2020
Oklahoma,,,Yes,2020
South Carolina,,,Yes,2020
South Dakota,,,Yes,2020
Tennessee,,,Yes,2020
Texas,,,Yes,2020
Utah,Yes,,,2020
West Virginia,Yes,,,2020
Wisconsin,,,Yes,2020
Wyoming,,,Yes,2020
Alaska,,Yes,,2020
California,,Yes,,2020
Colorado,,Yes,,2020
Massachusetts,,Yes,,2020
Nevada,,Yes,,2020
Oregon,,Yes,,2020
Virginia,,,Yes,2020
Washington,,Yes,,2020
